long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,8.5,sc60,0,0,84,5,11,7,,,,,,2.9,7.13,,-2.063833,23.5575,,37.13,,,,,
-110.0472,37.60413,2021,NT,8.5,sc60,0,0,84,5,11,7,0.0,3.0886947965056,36.104,89.0,0.085200006148533,,,,,,,,-16.87,0.0454257046836053,0.0571017311974368,0.0436256615989301,0.0857404329015617
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,,,,,,12.34,1.95,12.34,3.256778,24.65141,3.256778,38.21,,,,,
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,,,,,,12.34,1.95,12.34,3.256778,24.65141,24.65141,38.21,,,,,
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,,,,,,12.34,1.95,1.95,3.256778,24.65141,3.256778,38.21,,,,,
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,,,,,,12.34,1.95,1.95,3.256778,24.65141,24.65141,38.21,,,,,
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,0.0,1.00008821410995,37.05,50.0,0.0006616481771096,,,,,,,,-15.57,0.12317786157406,0.0937325470237702,0.0410850279362094,0.0787261801275176
-110.0472,37.60413,2022,NT,4.5,sc22,0,0,84,5,11,7,,,,,,1.95,4.79,4.3,2.071222,25.17375,15.49885,37.84,,,,,
-110.0472,37.60413,2022,NT,4.5,sc22,0,0,84,5,11,7,0.0,2.81222579951895,36.77,76.0,0.017330113391141,,,,,,,,-7.93,0.0643634075450777,0.0600813325602735,0.0410415450112594,0.0463764163507523
-110.0472,37.60413,2022,NT,4.5,sc23,0,0,84,5,11,7,,,,,,17.4,4.83,17.4,1.933278,24.46223,1.933278,38.18,,,,,
-110.0472,37.60413,2022,NT,4.5,sc23,0,0,84,5,11,7,0.0,2.95063562868617,36.685,65.0,0.0010036876730586,,,,,,,,-11.86,0.138586613356094,0.0854694394959565,0.0417128416773026,0.102554214764402
-110.0472,37.60413,2022,NT,4.5,sc24,0,0,84,5,11,7,,,,,,6.49,7.43,,2.366778,24.9225,,38.31,,,,,
-110.0472,37.60413,2022,NT,4.5,sc24,0,0,84,5,11,7,0.0,3.38856178063155,36.306,60.0,0.054746748715068,,,,,,,,-8.04,0.131728541968728,0.0795924138067575,0.0429697927969179,0.0764883035670205
